,Name,Price,Old_Price,Discount
0,Global Version 2022 New S22+ Ultra 7.3 Inch Android Smartphone 8GB+512GB 7300mAh,"₦ 68,000","₦ 165,853",59%
1,Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,"₦ 2,890","₦ 4,320",33%
2,Bluetooth 5.0 PRO3 Wireless Earphone Waterproof Earbuds Air3 Business Big Batteries Headset,"₦ 2,900","₦ 4,455",35%
3,Men's Vintage Patterned Casual Short Sleeve Shirt,"₦ 4,400","₦ 7,800",44%
4,Smart Watch Full Touch Screen Watch - For Android & IOS.,"₦ 4,570","₦ 6,855",33%
5,Binatone Dry Iron - Di1255,"₦ 4,957","₦ 6,855",33%
6,Men's Slip-on Sneakers - Black,"₦ 5,647","₦ 6,855",33%
7,"WEYON 32"" Inches LED TV  +1 Years Warranty - Black","₦ 67,490","₦ 98,020",31%
8,Yemlays Men's Casual Shoe -blue,"₦ 4,980","₦ 7,827",36%
9,4 In 1 Men's Underwear Boxer Cotton Underwear,"₦ 4,600","₦ 6,161",25%
10,Latest Men Sneakers -Black,"₦ 4,490","₦ 9,827",54%
11,Nexus Single Door Fridge NX-65 Silver,"₦ 63,720","₦ 9,827",54%
12,"Cubot Note 8, 5.5"", 2GB+16GB, Android 11,3100mAh,4G Dual SIM-Black","₦ 32,500","₦ 59,900",46%
13,DM Presentable Breatheable Sneakers,"₦ 2,900","₦ 6,000",52%
14,"UMIDIGI A13 Pro (6GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 150,784","₦ 6,000",52%
15,Jameson Irish Whisky 70cl + Free Pack of 50cl Coca Cola Drink,"₦ 9,500","₦ 6,000",52%
16,Derma Roller Micro Needle Skin Multi 1.5mm,"₦ 2,800","₦ 5,000",44%
17,Nano Tape Double Sided Adhesive Tape 3cm X 3m,"₦ 2,000","₦ 4,098",51%
18,Balaclava Ski Mask Lemon,"₦ 5,099","₦ 15,000",66%
19,Bluetooth Selfie Stick Phone Stand Telescopic And Portable Multifunctional Tripod,"₦ 3,800","₦ 5,560",32%
20,Urban Graphic Bucket Hats (black),"₦ 4,675","₦ 15,000",69%
21,Modern Mosquito Foldable Net /Tent 6*6 Bed,"₦ 6,500","₦ 9,999",35%
22,The Ordinary Niacinamide + Peeling Solution + Alpha Arbutin,"₦ 7,400","₦ 22,000",66%
23,Classy 12Inch 30Cm Glow Dark Quartz Luminous Wall Clock,"₦ 5,500","₦ 8,900",38%
24,LCD Display Digital Timer Switch Socket,"₦ 4,300","₦ 8,504",49%
25,Millions & Billions  Trucker Hat (blue  And White),"₦ 4,249","₦ 15,000",72%
26,Cuban Link Chain With  Pendant Silver,"₦ 2,600","₦ 2,800",7%
27,Infant Baby Boys Girls Clothes Sets-van,"₦ 3,100 - ₦ 3,700","₦ 8,999",66%
28,Ard Alzaafran Ard Alzaafaran MOUSUF,"₦ 6,800","₦ 10,500",35%
29,MINDSET   Trucker Hat (black And White  ),"₦ 4,249","₦ 15,000",72%
30,"XIAOMI Poco C40, 4GB/64GB, 6000 MAh - Poco Yellow","₦ 83,900","₦ 87,500",4%
31,"UMIDIGI A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Frost Grey","₦ 71,900","₦ 111,569",36%
32,"Infinix Smart 6, 6.6"", 2GB/32GB,5000MAh, Android 11 -OCean Wave Blue","₦ 58,000","₦ 64,000",9%
33,ABS Laptop Stand Desktop Bracket Can Be Folded Up And Down To Receive Portable Radiator,"₦ 3,340","₦ 6,000",44%
34,Nestle Milo Hot Chocolate Refill - 400g x3,"₦ 3,695","₦ 6,000",44%
35,Latest Men Sneakers -Black,"₦ 4,490","₦ 9,827",54%
36,T&G Wireless Bluetooth Speaker With USB & TF Card-Black,"₦ 5,990","₦ 7,900",24%
37,"QUBO X668-6.53"" HD+,(4GB,64GB ROM),4900mAh-13MP/8MP Android 11,4G","₦ 62,990","₦ 101,337",38%
38,MOVFA 10000 Mah Fast Charging Dual USB Portable Power Bank,"₦ 2,700","₦ 5,540",51%
39,Apple Refurbished - IPhone 6 16GB - Gold - 4.7 Inch,"₦ 44,500","₦ 85,000",48%
40,"UMIDIGI A13 Pro (6GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 150,784","₦ 85,000",48%
41,LED Teeth Whitening Light - Blue,"₦ 2,110","₦ 85,000",48%
42,"WEYON 32"" Inches LED TV  +1 Years Warranty - Black","₦ 67,490","₦ 98,020",31%
43,I Watch Series 7 Smart Watch Bluetooth Call Waterproof,"₦ 12,900","₦ 17,627",27%
44,"Samsung Galaxy A23, 6.6"" TFT Screen, 4GB/64GB Memory, 50MP Quad Camera, 5000 mAh Battery, Android 12 - Blue","₦ 121,798","₦ 125,000",3%
45,Scanfrost 1.5HP Split Air Conditioner With Wave Technology SFACS12M Plus Installation Kits,"₦ 174,175","₦ 125,000",3%
46,Saisho Stainless Steel Steam Iron - S-788(6),"₦ 4,425","₦ 125,000",3%
47,Century 20 Litre Electric Oven COV-8320-A - Black,"₦ 26,470","₦ 125,000",3%
48,Binatone 1.5L Blender with Grinder BLG-410,"₦ 15,358","₦ 125,000",3%
49,"Infinix Smart 6, 6.6"", 2GB/32GB,5000MAh, Android 11 -OCean Wave Blue","₦ 58,000","₦ 64,000",9%
50,"Infinix Note 12i, 4GB/128GB Memory - Force Black","₦ 134,000","₦ 64,000",9%
51,"Infinix Hot 11 Play, 4GB/64GB Memory, Android 11 - Exploratory Blue","₦ 89,000","₦ 64,000",9%
52,Binatone 1.5 Litre Blender with Grinder BLG-452,"₦ 16,794","₦ 64,000",9%
53,"Samsung Galaxy A23, 4GB/64GB Memory, 5000 MAh Battery - Black","₦ 124,000","₦ 64,000",9%
54,Nexus Portable Air Cooler NX-CL-07PC350W,"₦ 4,992","₦ 64,000",9%
55,"XIAOMI Redmi 9C, 4GB/128GB Memory, Android 10 - Aurora Green","₦ 79,000","₦ 64,000",9%
56,"Infinix Hot 11S, 6.7"" IPS LCD Screen, 4GB/64GB Memory, 50MP Triple Camera, 5000 mAh Battery, Android 11 - Green Wave","₦ 95,000","₦ 64,000",9%
57,Smart Men's Fashion Breathable Classic Skate Sneakers Shoes - Black,"₦ 4,480","₦ 12,890",65%
58,"Realme C25Y, 4GB/128GB Memory - Metal Gray","₦ 139,000","₦ 12,890",65%
59,"WEYON 32"" Inches LED TV  +1 Years Warranty - Black","₦ 67,490","₦ 98,020",31%
60,Kiki New Gain LED Display Cordless Rechargeable Clipper NG-888B,"₦ 7,499","₦ 98,020",31%
61,Nexus 100L Chest Freezer NX-150G - Silver,"₦ 95,550","₦ 98,020",31%
62,LG Audio ( XBOOM) LK72B - Black,"₦ 33,770","₦ 98,020",31%
63,Hisense Bluetooth Sound Bar System-204,"₦ 21,900","₦ 98,020",31%
64,Harman Kardon ONYX STUDIO 7- ( BLUETOOTH INDOOR AND OUTDOOR SPEAKER) - BLUE,"₦ 174,200","₦ 300,000",42%
65,Oraimo 27000mAh Massive Power Charing Bank Traveller 3 Byte,"₦ 18,500","₦ 22,353",17%
66,"itel 20000mAh Fast Charging, Bright Torch STAR 200 Power Bank","₦ 7,500","₦ 13,000",42%
67,EILIFINTE B06 Casual Crossbody Bag-Grey,"₦ 2,050","₦ 6,800",70%
68,Eaget Pen Flash Drive 3.0 64GB - Metal OTG Micro USB Type-C,"₦ 2,590","₦ 4,275",39%
69,Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,"₦ 2,890","₦ 4,320",33%
70,Fngeen 05 Calendar Sporty Waterproof Quartz Men's Watch/Black,"₦ 4,550","₦ 28,000",84%
71,NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml,"₦ 8,000","₦ 28,000",84%
72,NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum 30ml & Anti Dark Marks Day Cream SPF50 (bundle Pack),"₦ 12,800","₦ 16,000",20%
73,NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2),"₦ 3,410","₦ 3,900",13%
74,NIVEA Even And Radiant Body Lotion For Women- 400ml (Pack Of 2),"₦ 4,000","₦ 4,550",12%
75,"NIVEA Deep Anti-Perspirant Roll-on For Men, 48h - 50ml (Pack Of 3)","₦ 2,020","₦ 2,370",15%
76,"NIVEA Deep Anti-Perspirant Spray For Men, 48h - 200ml (Pack Of 2)","₦ 2,600","₦ 2,970",12%
77,"NIVEA Dry Impact Roll-on For Men, 48h- 50ml (Pack Of 2)","₦ 1,350","₦ 1,580",15%
78,NIVEA Vanilla & Almond Oil Body Lotion For Women - 400ml (Pack Of 2),"₦ 3,410","₦ 3,900",13%
79,"NIVEA Flash Sales Deep Anti-Perspirant Roll-on For Men, 48h - 50ml (Pack Of 3)","₦ 2,370","₦ 3,900",13%
80,"NIVEA Pearl & Beauty Anti-Perspirant Spray For Women, 48h - 200ml (Pack Of 2)","₦ 2,600","₦ 2,970",12%
81,"NIVEA Black & White Invisible Original Anti-Perspirant Roll-on For Men, 48h - 50ml (Pack Of 3)","₦ 2,075","₦ 2,370",12%
82,Oraimo Charger UKDualUSB OCW-U81F White,"₦ 5,600","₦ 7,359",24%
83,Oraimo Wireless Tilt Stereo Sound bar,"₦ 21,800","₦ 28,500",24%
84,Oraimo Riff Smaller For Comfort True Wireless Earbuds -Black,"₦ 12,500","₦ 16,560",25%
85,Oraimo Necklace 3 Lite Neckband BT 5.0 Wireless Earphone - Gold,"₦ 13,100","₦ 13,500",3%
86,Oraimo Drum In-Ear Earphone With Mic,"₦ 2,200","₦ 2,400",8%
87,Oraimo FreePods 3 True Wireless Earbuds ENC Calling Noise Cancellation,"₦ 17,400","₦ 24,814",30%
88,Oraimo Silver Edition Smart Watch 1.69'' IPS Screen IP68 Waterproof,"₦ 24,930","₦ 28,900",14%
89,Oraimo 27000mAh Massive Power Charing Bank Traveller 3 Byte,"₦ 18,500","₦ 22,353",17%
90,Oraimo Riff Smaller For Comfort True Wireless Earbuds -White,"₦ 12,500","₦ 16,560",25%
91,Oraimo Feather-2C In-Ear Neckband Wireless Headphones With Microphone,"₦ 4,800","₦ 9,216",48%
92,Oraimo SoundPro Wireless Speaker Multi-Model Music Play,"₦ 15,000","₦ 26,220",43%
93,"Oraimo 1.69"" IPS Screen IP68 Smart Watch Pro - Gold","₦ 26,200","₦ 34,900",25%
94,Oraimo Wireless Speaker Palm Powerful Bass Ultra Design IP67,"₦ 8,150","₦ 8,900",8%
95,Oraimo Data Cable OCD-C24 3A 1M - Black,"₦ 1,870","₦ 4,000",53%
96,"Oraimo 1.69"" IPS Screen IP68 Smart Watch Pro - Rose Gold","₦ 26,200","₦ 34,900",25%
97,Ariel Original 2kg,"₦ 2,150","₦ 34,900",25%
98,Oraimo FreePods-3 2Baba Edition BT5.2 Wireless Stereo Earbuds,"₦ 18,390","₦ 30,392",39%
99,Nestle Milo Hot Chocolate Refill - 800g x2,"₦ 4,285","₦ 30,392",39%
100,Binatone Dry Iron - Di1255,"₦ 4,957","₦ 30,392",39%
101,"Cubot Note 8, 5.5"", 2GB+16GB, Android 11,3100mAh,4G Dual SIM-Black","₦ 32,500","₦ 59,900",46%
102,itel 10000mAh Dual Input & Dual Output - Fast Charging Power Bank,"₦ 5,749","₦ 9,088",37%
103,Ace Elec PT08 True Wireless Bluetooth 5.1 Earphones 40Hours Playtime 9D Stereo Headsets Ergonomic Design,"₦ 7,400","₦ 10,157",27%
104,Unisex Anti Blue Light Protective Computer Glasses,"₦ 1,500","₦ 6,000",75%
105,Apple Refurbished - IPhone 6 16GB - Space Grey - 4.7 Inch,"₦ 45,000","₦ 85,000",47%
106,"UMIDIGI A13 Pro (6GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Glacier Blue","₦ 150,784","₦ 85,000",47%
107,New Age Virgin Power Bank 15000mah,"₦ 6,490","₦ 15,200",57%
108,Hxsj T24 2.4G Wireless Mouse Vertical Ergonomic Mouse With,"₦ 3,490","₦ 7,059",51%
109,6 In 1 Long Socks,"₦ 2,799","₦ 7,059",51%
110,Cway Drinking Water 750ml x12,₦ 750,"₦ 7,059",51%
111,Men's Leather Slip On Shoes-Black,"₦ 5,790","₦ 11,141",48%
112,Guinness Malta Can 330ml x24,"₦ 4,990","₦ 11,141",48%
113,Yemlays Men's Breathable Lace-up Canvas - Grey (Big Size 39 - 47),"₦ 5,980","₦ 6,000",1%
114,Edifier TWS330 NB Hybrid ANC Wireless Bluetooth Earphone Bluetooth 5.0,"₦ 8,990","₦ 18,990",53%
115,Indomie Indomie Regular Chicken Noodles 100G X 40 Packs,"₦ 4,825","₦ 18,990",53%
116,Binatone 1.5 Litre Blender with Grinder BLG-452,"₦ 16,794","₦ 18,990",53%
117,Cway Nutri-Choco Malt Chocolate Drink 400ml x12,"₦ 3,250","₦ 18,990",53%
118,Nestle Milo Hot Chocolate Refill - 400g,"₦ 1,235","₦ 18,990",53%
119,Pears Baby Oil 200ml,₦ 890,"₦ 18,990",53%
120,"NIVEA Dry Fresh Roll-on For Women, 48h- 50ml (Pack Of 3)","₦ 2,075","₦ 2,370",12%
121,"NIVEA Black & White Invisible Clear Anti-Perspirant Roll-on For Women, 48h - 50ml (Pack Of 3)","₦ 2,075","₦ 2,370",12%
122,NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2),"₦ 3,410","₦ 3,900",13%
123,YingHD Micro SD Card TF Card Reader 5 In 1 Black,"₦ 2,090","₦ 4,200",50%
124,Sunlight 2in1 Detergent Powder Spring Sensations that Freshens 900g,₦ 990,"₦ 4,200",50%
125,Loyd Tea Matcha,₦ 655,"₦ 4,200",50%
126,Wireless Bluetooth 5.2 Waterproof Sports Headphones,"₦ 9,500","₦ 4,200",50%
127,Molfix MOLFIX WET WIPE SENSITIVE SKIN 60X1,₦ 770,"₦ 4,200",50%
128,2Pcs BabyGirl Casual Long Sleeve Patchwork Cloth Set - Rabbit Print,"₦ 2,490","₦ 4,784",48%
129,Kids Mini Balance Pushing Scooter Bike - Blue,"₦ 8,500","₦ 21,240",60%
130,Boys Girls Clothes 4-Piece Children's Baby Long Sleeve Pants Set-Rocket/Excavator Pattern,"₦ 7,880 - ₦ 8,280","₦ 9,800",20%
131,Adidas SPORTS PERFORMANCE SLIDES ADILETTE SANDAL K,"₦ 11,819","₦ 16,872",30%
132,Huggies Dry Comfort Size 2 B 40X1,"₦ 2,400","₦ 16,872",30%
133,Large Capacity Diaper Bag - Multi-functional,"₦ 6,750","₦ 10,000",33%
134,2Pcs BabyBoy/Girl Casual Long Sleeve Patchwork Clothes Sets-Banana Print,"₦ 5,471","₦ 10,000",33%
135,Glowing Shoes For Boys And Girls-Black,"₦ 5,980","₦ 9,600",38%
136,Molfix MOLFIX MINI 96X1 JUMBO,"₦ 7,530","₦ 9,600",38%
137,61 Keys Music Electronic Digital Keyboard,"₦ 14,999","₦ 15,000",1%
138,Molfix MOLFIX WET WIPE NEWBORN 50X1,₦ 770,"₦ 15,000",1%
139,Molfix MOLFIX PANTS MIDI 62X1 JUMBO NG,"₦ 5,295","₦ 15,000",1%
140,"Multipurpose Foldable Baby Bag And Baby Cot Bed+ Free Teether,wipe And Key Holder Combo","₦ 12,200","₦ 12,500",2%
141,Molfix MOLFIX JUNIOR 28X1 TWIN,"₦ 3,170","₦ 12,500",2%
142,"800ml Stainless Steel Vacuum Flask, Large Capacity, Vacuum","₦ 6,900","₦ 9,000",23%
143,TECLAST P20HD 10.1’Full HD 4G Tablet Android 10 Gesture Navigation 64GB,"₦ 78,798","₦ 129,990",39%
144,Idino NoteBook 3 10.1 Inch-( Android 10) - 4GB Ram– 64GB Rom Tablet,"₦ 85,000","₦ 100,000",15%
145,"DELL Essential Laptop Backpack Toploader, For Work, Office And Leisure","₦ 5,000","₦ 7,000",29%
146,Huion Inspiroy H420X OSU Tablet Graphics Drawing Tablets,"₦ 20,399","₦ 7,000",29%
147,TECLAST T40PRO Tablet - 8GB + 128GB - 7000 MAh Battery 18W PD - 10.4 Inches,"₦ 131,298","₦ 169,999",23%
148,STPERFUMES INCLUSIVE Oil Perfume Set (3ml X 12),"₦ 2,690","₦ 2,990",10%
149,Insulated Water Bottle With Temperature Indicator - Black,"₦ 6,400","₦ 8,000",20%
150,Children Waterproof School Backpack/Bag,"₦ 6,599","₦ 8,500",22%
151,Lenovo Xiaoxin K11 Pad 11inch 6GM RAM+ 128GB ROM WIFI Edition 7700Mah Tablet PC,"₦ 139,998","₦ 207,824",33%
152,WATERPROOF CHILDREN SCHOOL BAG BACKPACK,"₦ 8,000","₦ 15,000",47%
153,Mens Oxford Casual Messenger Bag Shoulder Bags,"₦ 6,700","₦ 9,000",26%
154,"Smart Business Anti Theft Bag OfficeLite With USB Charging Port, Security Backpack & Laptop Bag","₦ 5,690","₦ 7,890",28%
155,TedGear Anti Theft Security Travel Backpack & Laptop Bag With USB Charging Port -Bobby Solo - Black,"₦ 5,890","₦ 8,990",34%
156,Intelligent Temperature Display Insulation Vacuum Cup 500ml,"₦ 4,500","₦ 7,000",36%
157,Girls Ballet Flat Shoes,"₦ 5,500","₦ 7,000",21%
158,Universal Stainless Steel Food Flasks 5 In 1 Set,"₦ 12,000","₦ 7,000",21%
159,UNISEX DIGITAL LED SCREEN ELECTRONIC FASHION WRISTWATCH,"₦ 1,845","₦ 4,000",54%
160,Children Unisex White Back To School Canvass,"₦ 3,900","₦ 5,000",22%
161,Casual Board Shoes Running Sneakers-Pink,"₦ 4,399","₦ 5,000",22%
162,Kids Shoes Children's Shoes For Boys And Girls Casual Sports Breathable Running Shoes,"₦ 4,680","₦ 7,890",41%
163,Ladies Flat Work Shoe,"₦ 7,000","₦ 15,000",53%
164,New 220V Electric Lunch Box Rice Cooker Soup Cooking,"₦ 13,600","₦ 15,000",53%
165,Kids Breathable Socks Casual Shoe Sneakers.,"₦ 5,500","₦ 15,000",53%
166,Mini Snack Bag - Red,"₦ 4,000","₦ 5,200",23%
167,Home Touch Stainless Steel Food Flask Set - 5 In 1 Set,"₦ 9,200","₦ 10,000",8%
168,All Black Covered Slip-on Pam Slippers- With Centre Openings,"₦ 6,000","₦ 7,000",14%
169,Rising Star Quality Boy's Back To School Shoe - Black,"₦ 5,999","₦ 10,500 - ₦ 25,000",76%
170,Smart Business Large Capacity Waterproof Laptop Backpack,"₦ 17,999","₦ 10,500 - ₦ 25,000",76%
171,Unique Female Flat Shoe-Black,"₦ 5,000 - ₦ 5,500","₦ 7,500",33%
